{'input_size': [torch.Size([4, 8, 16, 64]), torch.Size([4, 8, 16]), torch.Size([4]), torch.Size([4, 8, 64])], 'ms': 0.00685499981045723, 'GB/s': 20.61677664591699, 'TFLOPS': 0.009560321197970791}
{'input_size': [torch.Size([8, 8, 16, 64]), torch.Size([8, 8, 16]), torch.Size([8]), torch.Size([8, 8, 64])], 'ms': 0.010343999601900578, 'GB/s': 27.325600432937524, 'TFLOPS': 0.012671307525564598}
{'input_size': [torch.Size([16, 8, 16, 64]), torch.Size([16, 8, 16]), torch.Size([16]), torch.Size([16, 8, 64])], 'ms': 0.009943000040948391, 'GB/s': 56.85527483373911, 'TFLOPS': 0.026364678559831923}
{'input_size': [torch.Size([32, 8, 16, 64]), torch.Size([32, 8, 16]), torch.Size([32]), torch.Size([32, 8, 64])], 'ms': 0.010905000381171703, 'GB/s': 103.67940948925656, 'TFLOPS': 0.048077760813765975}
{'input_size': [torch.Size([64, 8, 16, 64]), torch.Size([64, 8, 16]), torch.Size([64]), torch.Size([64, 8, 64])], 'ms': 0.011105000041425228, 'GB/s': 203.6243126127705, 'TFLOPS': 0.09442377272296025}
{'input_size': [torch.Size([128, 8, 16, 64]), torch.Size([128, 8, 16]), torch.Size([128]), torch.Size([128, 8, 64])], 'ms': 0.011587000451982021, 'GB/s': 390.3077434700886, 'TFLOPS': 0.18099179409639796}
{'input_size': [torch.Size([256, 8, 16, 64]), torch.Size([256, 8, 16]), torch.Size([256]), torch.Size([256, 8, 64])], 'ms': 0.012749000452458858, 'GB/s': 709.4667565295695, 'TFLOPS': 0.3289908111338296}
{'input_size': [torch.Size([512, 8, 16, 64]), torch.Size([512, 8, 16]), torch.Size([512]), torch.Size([512, 8, 64])], 'ms': 0.01828099973499775, 'GB/s': 989.5511329923569, 'TFLOPS': 0.4588703091516692}
{'input_size': [torch.Size([1024, 8, 16, 64]), torch.Size([1024, 8, 16]), torch.Size([1024]), torch.Size([1024, 8, 64])], 'ms': 0.02782299928367138, 'GB/s': 1300.361892372729, 'TFLOPS': 0.6029981106259139}
{'input_size': [torch.Size([2048, 8, 16, 64]), torch.Size([2048, 8, 16]), torch.Size([2048]), torch.Size([2048, 8, 64])], 'ms': 0.046505000442266464, 'GB/s': 1555.960333552326, 'TFLOPS': 0.7215230981807231}
{'input_size': [torch.Size([4096, 8, 16, 64]), torch.Size([4096, 8, 16]), torch.Size([4096]), torch.Size([4096, 8, 64])], 'ms': 0.08667699992656708, 'GB/s': 1669.6456052079209, 'TFLOPS': 0.7742407334916386}
{'input_size': [torch.Size([8192, 8, 16, 64]), torch.Size([8192, 8, 16]), torch.Size([8192]), torch.Size([8192, 8, 64])], 'ms': 0.16365200281143188, 'GB/s': 1768.6294028036255, 'TFLOPS': 0.8201410657628948}
{'input_size': [torch.Size([16384, 8, 16, 64]), torch.Size([16384, 8, 16]), torch.Size([16384]), torch.Size([16384, 8, 64])], 'ms': 0.31447499990463257, 'GB/s': 1840.7806285890786, 'TFLOPS': 0.8535987155780443}
{'input_size': [torch.Size([32768, 8, 16, 64]), torch.Size([32768, 8, 16]), torch.Size([32768]), torch.Size([32768, 8, 64])], 'ms': 0.5913429856300354, 'GB/s': 1957.8468065643615, 'TFLOPS': 0.9078841299318041}
{'input_size': [torch.Size([65536, 8, 16, 64]), torch.Size([65536, 8, 16]), torch.Size([65536]), torch.Size([65536, 8, 64])], 'ms': 1.1500940322875977, 'GB/s': 2013.3292469958415, 'TFLOPS': 0.9336122037467414}
{'input_size': [torch.Size([131072, 8, 16, 64]), torch.Size([131072, 8, 16]), torch.Size([131072]), torch.Size([131072, 8, 64])], 'ms': 2.2799609899520874, 'GB/s': 2031.1908512510645, 'TFLOPS': 0.9418949084936443}
