{'input_size': [torch.Size([16]), torch.Size([16])], 'ms': 0.006012999918311834, 'GB/s': 0.03193081699789953, 'TFLOPS': 5.321802832983255e-06}
{'input_size': [torch.Size([32]), torch.Size([32])], 'ms': 0.0059739998541772366, 'GB/s': 0.06427854191049123, 'TFLOPS': 1.0713090318415206e-05}
{'input_size': [torch.Size([64]), torch.Size([64])], 'ms': 0.0059739998541772366, 'GB/s': 0.12855708382098247, 'TFLOPS': 2.1426180636830412e-05}
{'input_size': [torch.Size([128]), torch.Size([128])], 'ms': 0.006014000158756971, 'GB/s': 0.25540405045773634, 'TFLOPS': 4.256734174295606e-05}
{'input_size': [torch.Size([256]), torch.Size([256])], 'ms': 0.006014000158756971, 'GB/s': 0.5108081009154727, 'TFLOPS': 8.513468348591212e-05}
{'input_size': [torch.Size([512]), torch.Size([512])], 'ms': 0.006014000158756971, 'GB/s': 1.0216162018309454, 'TFLOPS': 0.00017026936697182423}
{'input_size': [torch.Size([1024]), torch.Size([1024])], 'ms': 0.006012999918311834, 'GB/s': 2.0435722878655698, 'TFLOPS': 0.0003405953813109283}
{'input_size': [torch.Size([2048]), torch.Size([2048])], 'ms': 0.006014000158756971, 'GB/s': 4.0864648073237815, 'TFLOPS': 0.0006810774678872969}
{'input_size': [torch.Size([4096]), torch.Size([4096])], 'ms': 0.006014000158756971, 'GB/s': 8.172929614647563, 'TFLOPS': 0.0013621549357745938}
{'input_size': [torch.Size([8192]), torch.Size([8192])], 'ms': 0.006014000158756971, 'GB/s': 16.345859229295126, 'TFLOPS': 0.0027243098715491877}
{'input_size': [torch.Size([16384]), torch.Size([16384])], 'ms': 0.006696000229567289, 'GB/s': 29.362006161804633, 'TFLOPS': 0.004893667693634106}
