{'input_size': [torch.Size([4, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 0.009139999747276306, 'GB/s': 116.516414600269, 'TFLOPS': 0.057361927187824735}
{'input_size': [torch.Size([8, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 0.009500999934971333, 'GB/s': 222.4540589902001, 'TFLOPS': 0.11036480446025432}
{'input_size': [torch.Size([16, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 0.01006300002336502, 'GB/s': 418.4326731812891, 'TFLOPS': 0.20840226524204278}
{'input_size': [torch.Size([32, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 0.012788999825716019, 'GB/s': 657.204794318576, 'TFLOPS': 0.32796184667749595}
{'input_size': [torch.Size([64, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 0.019202999770641327, 'GB/s': 874.5300317961281, 'TFLOPS': 0.4368384158825538}
{'input_size': [torch.Size([128, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 0.030789999291300774, 'GB/s': 1090.3155820950246, 'TFLOPS': 0.5448917306321646}
{'input_size': [torch.Size([256, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 0.06005600094795227, 'GB/s': 1117.7109188168276, 'TFLOPS': 0.5587190533895199}
{'input_size': [torch.Size([512, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 0.11085200309753418, 'GB/s': 1210.930865019127, 'TFLOPS': 0.6053915321760459}
{'input_size': [torch.Size([1024, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 0.20907600224018097, 'GB/s': 1283.9916447781015, 'TFLOPS': 0.6419566404651943}
{'input_size': [torch.Size([2048, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 0.3862780034542084, 'GB/s': 1389.8987030040546, 'TFLOPS': 0.6949281439781023}
{'input_size': [torch.Size([4096, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 0.7548360228538513, 'GB/s': 1422.5052534461477, 'TFLOPS': 0.7112417740348714}
{'input_size': [torch.Size([8192, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 1.4495340585708618, 'GB/s': 1481.510571829739, 'TFLOPS': 0.7407496344436594}
{'input_size': [torch.Size([16384, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 2.838752031326294, 'GB/s': 1512.983040647386, 'TFLOPS': 0.7564886345485674}
{'input_size': [torch.Size([32768, 128, 8, 64]), torch.Size([128, 16]), torch.Size([128, 16])], 'ms': 5.886918544769287, 'GB/s': 1459.159135747248, 'TFLOPS': 0.7295781763136869}
