{'input_size': [torch.Size([4]), torch.Size([10000, 768]), 0, 10000, torch.Size([4, 768])], 'ms': 0.011145000346004963, 'GB/s': 1378.1978935071054, 'TFLOPS': 0.0005512785831543181}
{'input_size': [torch.Size([8]), torch.Size([10000, 768]), 0, 10000, torch.Size([8, 768])], 'ms': 0.011505999602377415, 'GB/s': 1334.9585025907918, 'TFLOPS': 0.0010679645771464311}
{'input_size': [torch.Size([16]), torch.Size([10000, 768]), 0, 10000, torch.Size([16, 768])], 'ms': 0.012227999977767467, 'GB/s': 1256.1387003538719, 'TFLOPS': 0.002009813546343085}
{'input_size': [torch.Size([32]), torch.Size([10000, 768]), 0, 10000, torch.Size([32, 768])], 'ms': 0.013631000183522701, 'GB/s': 1126.8526001905193, 'TFLOPS': 0.0036058982714573993}
{'input_size': [torch.Size([64]), torch.Size([10000, 768]), 0, 10000, torch.Size([64, 768])], 'ms': 0.015073999762535095, 'GB/s': 1018.9900651435835, 'TFLOPS': 0.006521427726456827}
{'input_size': [torch.Size([128]), torch.Size([10000, 768]), 0, 10000, torch.Size([128, 768])], 'ms': 0.016999000683426857, 'GB/s': 903.6126467702129, 'TFLOPS': 0.01156585635011372}
{'input_size': [torch.Size([256]), torch.Size([10000, 768]), 0, 10000, torch.Size([256, 768])], 'ms': 0.017078999429941177, 'GB/s': 899.4100657366732, 'TFLOPS': 0.023023362792006036}
{'input_size': [torch.Size([512]), torch.Size([10000, 768]), 0, 10000, torch.Size([512, 768])], 'ms': 0.017078999429941177, 'GB/s': 899.4700224106107, 'TFLOPS': 0.04604672558401207}
{'input_size': [torch.Size([1024]), torch.Size([10000, 768]), 0, 10000, torch.Size([1024, 768])], 'ms': 0.017319999635219574, 'GB/s': 887.0725360038509, 'TFLOPS': 0.09081201115048755}
{'input_size': [torch.Size([2048]), torch.Size([10000, 768]), 0, 10000, torch.Size([2048, 768])], 'ms': 0.017839999869465828, 'GB/s': 861.4457462134588, 'TFLOPS': 0.17633004613324532}
{'input_size': [torch.Size([4096]), torch.Size([10000, 768]), 0, 10000, torch.Size([4096, 768])], 'ms': 0.01872199960052967, 'GB/s': 821.3003059547647, 'TFLOPS': 0.33604615608591326}
{'input_size': [torch.Size([8192]), torch.Size([10000, 768]), 0, 10000, torch.Size([8192, 768])], 'ms': 0.020447000861167908, 'GB/s': 752.8129970998975, 'TFLOPS': 0.6153915718709115}
{'input_size': [torch.Size([16384]), torch.Size([10000, 768]), 0, 10000, torch.Size([16384, 768])], 'ms': 0.02225000038743019, 'GB/s': 693.2825047820866, 'TFLOPS': 1.1310482499684387}
{'input_size': [torch.Size([32768]), torch.Size([10000, 768]), 0, 10000, torch.Size([32768, 768])], 'ms': 0.02946699969470501, 'GB/s': 525.7091716325508, 'TFLOPS': 1.7080682974671562}
{'input_size': [torch.Size([65536]), torch.Size([10000, 768]), 0, 10000, torch.Size([65536, 768])], 'ms': 0.05680999904870987, 'GB/s': 274.9893374686612, 'TFLOPS': 1.7719291970712685}
{'input_size': [torch.Size([131072]), torch.Size([10000, 768]), 0, 10000, torch.Size([131072, 768])], 'ms': 0.11129400134086609, 'GB/s': 142.72366712155798, 'TFLOPS': 1.8089617551208916}
