{'input_size': [torch.Size([4, 8, 16, 64]), torch.Size([4, 8, 16]), torch.Size([4]), torch.Size([4, 8, 64])], 'ms': 0.00974200014024973, 'GB/s': 14.507082525701664, 'TFLOPS': 0.006727160650432923}
{'input_size': [torch.Size([8, 8, 16, 64]), torch.Size([8, 8, 16]), torch.Size([8]), torch.Size([8, 8, 64])], 'ms': 0.009943000040948391, 'GB/s': 28.427637416869555, 'TFLOPS': 0.013182339279915961}
{'input_size': [torch.Size([16, 8, 16, 64]), torch.Size([16, 8, 16]), torch.Size([16]), torch.Size([16, 8, 64])], 'ms': 0.011145000346004963, 'GB/s': 50.72337213543845, 'TFLOPS': 0.023521219547917572}
{'input_size': [torch.Size([32, 8, 16, 64]), torch.Size([32, 8, 16]), torch.Size([32]), torch.Size([32, 8, 64])], 'ms': 0.010745000094175339, 'GB/s': 105.22326571340747, 'TFLOPS': 0.048793671047449}
{'input_size': [torch.Size([64, 8, 16, 64]), torch.Size([64, 8, 16]), torch.Size([64]), torch.Size([64, 8, 64])], 'ms': 0.011225000023841858, 'GB/s': 201.44748286834013, 'TFLOPS': 0.09341434278599808}
{'input_size': [torch.Size([128, 8, 16, 64]), torch.Size([128, 8, 16]), torch.Size([128]), torch.Size([128, 8, 64])], 'ms': 0.01206700038164854, 'GB/s': 374.78212123684017, 'TFLOPS': 0.17379232068222544}
{'input_size': [torch.Size([256, 8, 16, 64]), torch.Size([256, 8, 16]), torch.Size([256]), torch.Size([256, 8, 64])], 'ms': 0.013150000013411045, 'GB/s': 687.8320905532663, 'TFLOPS': 0.3189584787621622}
{'input_size': [torch.Size([512, 8, 16, 64]), torch.Size([512, 8, 16]), torch.Size([512]), torch.Size([512, 8, 64])], 'ms': 0.018803000450134277, 'GB/s': 962.0796451063646, 'TFLOPS': 0.4461313513365413}
{'input_size': [torch.Size([1024, 8, 16, 64]), torch.Size([1024, 8, 16]), torch.Size([1024]), torch.Size([1024, 8, 64])], 'ms': 0.030229000374674797, 'GB/s': 1196.8628651813044, 'TFLOPS': 0.5550039958997648}
{'input_size': [torch.Size([2048, 8, 16, 64]), torch.Size([2048, 8, 16]), torch.Size([2048]), torch.Size([2048, 8, 64])], 'ms': 0.04826999828219414, 'GB/s': 1499.066471412993, 'TFLOPS': 0.6951405260848658}
{'input_size': [torch.Size([4096, 8, 16, 64]), torch.Size([4096, 8, 16]), torch.Size([4096]), torch.Size([4096, 8, 64])], 'ms': 0.09489600360393524, 'GB/s': 1525.036529504585, 'TFLOPS': 0.7071832474641435}
{'input_size': [torch.Size([8192, 8, 16, 64]), torch.Size([8192, 8, 16]), torch.Size([8192]), torch.Size([8192, 8, 64])], 'ms': 0.1850609928369522, 'GB/s': 1564.0235122644704, 'TFLOPS': 0.725262120031164}
{'input_size': [torch.Size([16384, 8, 16, 64]), torch.Size([16384, 8, 16]), torch.Size([16384]), torch.Size([16384, 8, 64])], 'ms': 0.343982994556427, 'GB/s': 1682.872401138541, 'TFLOPS': 0.7803742052602133}
{'input_size': [torch.Size([32768, 8, 16, 64]), torch.Size([32768, 8, 16]), torch.Size([32768]), torch.Size([32768, 8, 64])], 'ms': 0.6458309888839722, 'GB/s': 1792.6655671953197, 'TFLOPS': 0.8312870104417558}
{'input_size': [torch.Size([65536, 8, 16, 64]), torch.Size([65536, 8, 16]), torch.Size([65536]), torch.Size([65536, 8, 64])], 'ms': 1.2819389700889587, 'GB/s': 1806.2622371479333, 'TFLOPS': 0.8375919985687688}
{'input_size': [torch.Size([131072, 8, 16, 64]), torch.Size([131072, 8, 16]), torch.Size([131072]), torch.Size([131072, 8, 64])], 'ms': 2.6048519611358643, 'GB/s': 1777.8499404551972, 'TFLOPS': 0.8244167730221316}
