{'input_size': [torch.Size([16])], 'ms': 0.005973000079393387, 'GB/s': 0.021429767001275444, 'TFLOPS': 5.35744175031886e-06}
{'input_size': [torch.Size([32])], 'ms': 0.005934000015258789, 'GB/s': 0.04314121997669654, 'TFLOPS': 1.0785304994174135e-05}
{'input_size': [torch.Size([64])], 'ms': 0.005934000015258789, 'GB/s': 0.08628243995339308, 'TFLOPS': 2.157060998834827e-05}
{'input_size': [torch.Size([128])], 'ms': 0.005973000079393387, 'GB/s': 0.17143813601020355, 'TFLOPS': 4.285953400255088e-05}
{'input_size': [torch.Size([256])], 'ms': 0.005973000079393387, 'GB/s': 0.3428762720204071, 'TFLOPS': 8.571906800510176e-05}
{'input_size': [torch.Size([512])], 'ms': 0.005973000079393387, 'GB/s': 0.6857525440408142, 'TFLOPS': 0.00017143813601020353}
{'input_size': [torch.Size([1024])], 'ms': 0.005973000079393387, 'GB/s': 1.3715050880816284, 'TFLOPS': 0.00034287627202040706}
{'input_size': [torch.Size([2048])], 'ms': 0.0059739998541772366, 'GB/s': 2.7425511215142926, 'TFLOPS': 0.0006856377803785732}
{'input_size': [torch.Size([4096])], 'ms': 0.0059739998541772366, 'GB/s': 5.485102243028585, 'TFLOPS': 0.0013712755607571464}
{'input_size': [torch.Size([8192])], 'ms': 0.0059739998541772366, 'GB/s': 10.97020448605717, 'TFLOPS': 0.0027425511215142927}
{'input_size': [torch.Size([16384])], 'ms': 0.0059739998541772366, 'GB/s': 21.94040897211434, 'TFLOPS': 0.0054851022430285855}
