{'input_size': [torch.Size([16])], 'ms': 0.005934000015258789, 'GB/s': 0.02157060998834827, 'TFLOPS': 5.392652497087067e-06}
{'input_size': [torch.Size([32])], 'ms': 0.005934000015258789, 'GB/s': 0.04314121997669654, 'TFLOPS': 1.0785304994174135e-05}
{'input_size': [torch.Size([64])], 'ms': 0.005934000015258789, 'GB/s': 0.08628243995339308, 'TFLOPS': 2.157060998834827e-05}
{'input_size': [torch.Size([128])], 'ms': 0.005934000015258789, 'GB/s': 0.17256487990678615, 'TFLOPS': 4.314121997669654e-05}
{'input_size': [torch.Size([256])], 'ms': 0.005934000015258789, 'GB/s': 0.3451297598135723, 'TFLOPS': 8.628243995339308e-05}
{'input_size': [torch.Size([512])], 'ms': 0.005934000015258789, 'GB/s': 0.6902595196271446, 'TFLOPS': 0.00017256487990678616}
{'input_size': [torch.Size([1024])], 'ms': 0.005934000015258789, 'GB/s': 1.3805190392542892, 'TFLOPS': 0.0003451297598135723}
{'input_size': [torch.Size([2048])], 'ms': 0.005934000015258789, 'GB/s': 2.7610380785085784, 'TFLOPS': 0.0006902595196271446}
{'input_size': [torch.Size([4096])], 'ms': 0.005934000015258789, 'GB/s': 5.522076157017157, 'TFLOPS': 0.0013805190392542892}
{'input_size': [torch.Size([8192])], 'ms': 0.005934000015258789, 'GB/s': 11.044152314034314, 'TFLOPS': 0.0027610380785085785}
{'input_size': [torch.Size([16384])], 'ms': 0.005934000015258789, 'GB/s': 22.088304628068627, 'TFLOPS': 0.005522076157017157}
