{'input_size': [torch.Size([128, 256]), torch.Size([256])], 'ms': 0.006053000222891569, 'GB/s': 21.907813500236756, 'TFLOPS': 0.010827027521352528}
{'input_size': [torch.Size([256, 384]), torch.Size([384])], 'ms': 0.006333999801427126, 'GB/s': 62.48437202521335, 'TFLOPS': 0.03104010201511245}
{'input_size': [torch.Size([384, 512]), torch.Size([512])], 'ms': 0.006413999944925308, 'GB/s': 123.17056544801699, 'TFLOPS': 0.061305893884690245}
{'input_size': [torch.Size([512, 640]), torch.Size([640])], 'ms': 0.007938000373542309, 'GB/s': 165.70016856941, 'TFLOPS': 0.08255983486525684}
{'input_size': [torch.Size([640, 768]), torch.Size([768])], 'ms': 0.008058999665081501, 'GB/s': 244.65964535811406, 'TFLOPS': 0.12198039965919995}
{'input_size': [torch.Size([768, 896]), torch.Size([896])], 'ms': 0.008941000327467918, 'GB/s': 308.59723732740247, 'TFLOPS': 0.1539264008046127}
{'input_size': [torch.Size([896, 1024]), torch.Size([1024])], 'ms': 0.009021000005304813, 'GB/s': 407.6816315084054, 'TFLOPS': 0.20341514232578656}
{'input_size': [torch.Size([1024, 1152]), torch.Size([1152])], 'ms': 0.010262999683618546, 'GB/s': 460.6154287956913, 'TFLOPS': 0.22988366683532388}
{'input_size': [torch.Size([1152, 1280]), torch.Size([1280])], 'ms': 0.010223000310361385, 'GB/s': 577.9094023906131, 'TFLOPS': 0.2884789113241989}
{'input_size': [torch.Size([1280, 1408]), torch.Size([1408])], 'ms': 0.011265999637544155, 'GB/s': 640.8407804257489, 'TFLOPS': 0.3199432021982322}
{'input_size': [torch.Size([1408, 1536]), torch.Size([1536])], 'ms': 0.011385999619960785, 'GB/s': 760.8052247616214, 'TFLOPS': 0.37988548606809963}
{'input_size': [torch.Size([1536, 1664]), torch.Size([1664])], 'ms': 0.012347999960184097, 'GB/s': 828.9938478301862, 'TFLOPS': 0.4139786213543029}
{'input_size': [torch.Size([1664, 1792]), torch.Size([1792])], 'ms': 0.012268000282347202, 'GB/s': 973.375914995927, 'TFLOPS': 0.48612454049104137}
{'input_size': [torch.Size([1792, 1920]), torch.Size([1920])], 'ms': 0.013430999591946602, 'GB/s': 1025.7917071385446, 'TFLOPS': 0.5123431024542733}
{'input_size': [torch.Size([1920, 2048]), torch.Size([2048])], 'ms': 0.013550999574363232, 'GB/s': 1161.870894733597, 'TFLOPS': 0.5803498079121996}
{'input_size': [torch.Size([2048, 2176]), torch.Size([2176])], 'ms': 0.014913000166416168, 'GB/s': 1196.451941319054, 'TFLOPS': 0.5976594850492724}
{'input_size': [torch.Size([2176, 2304]), torch.Size([2304])], 'ms': 0.015073999762535095, 'GB/s': 1331.5600581264946, 'TFLOPS': 0.6651856280985963}
{'input_size': [torch.Size([2304, 2432]), torch.Size([2432])], 'ms': 0.016076000407338142, 'GB/s': 1395.3878720829373, 'TFLOPS': 0.6971047347625438}
