{'input_size': [torch.Size([4096])], 'ms': 0.006093999836593866, 'GB/s': 5.377092366040347, 'TFLOPS': 0.0006721365457550434}
{'input_size': [torch.Size([8192])], 'ms': 0.006134000141173601, 'GB/s': 10.684055834967943, 'TFLOPS': 0.001335506979370993}
{'input_size': [torch.Size([16384])], 'ms': 0.006173999980092049, 'GB/s': 21.229672889964252, 'TFLOPS': 0.0026537091112455316}
{'input_size': [torch.Size([32768])], 'ms': 0.006134000141173601, 'GB/s': 42.73622333987177, 'TFLOPS': 0.005342027917483972}
{'input_size': [torch.Size([65536])], 'ms': 0.006134000141173601, 'GB/s': 85.47244667974354, 'TFLOPS': 0.010684055834967943}
{'input_size': [torch.Size([131072])], 'ms': 0.006173999980092049, 'GB/s': 169.83738311971402, 'TFLOPS': 0.021229672889964253}
{'input_size': [torch.Size([262144])], 'ms': 0.006173999980092049, 'GB/s': 339.67476623942804, 'TFLOPS': 0.042459345779928506}
{'input_size': [torch.Size([524288])], 'ms': 0.006333999801427126, 'GB/s': 662.1888429890656, 'TFLOPS': 0.08277360537363321}
{'input_size': [torch.Size([1048576])], 'ms': 0.00661499984562397, 'GB/s': 1268.1191527992744, 'TFLOPS': 0.1585148940999093}
{'input_size': [torch.Size([2097152])], 'ms': 0.008018000051379204, 'GB/s': 2092.4439875894104, 'TFLOPS': 0.2615554984486763}
{'input_size': [torch.Size([4194304])], 'ms': 0.012508999556303024, 'GB/s': 2682.423310431139, 'TFLOPS': 0.3353029138038923}
{'input_size': [torch.Size([8388608])], 'ms': 0.020607000216841698, 'GB/s': 3256.6051969637597, 'TFLOPS': 0.40707564962047}
{'input_size': [torch.Size([16777216])], 'ms': 0.051075998693704605, 'GB/s': 2627.8042805366244, 'TFLOPS': 0.32847553506707805}
{'input_size': [torch.Size([33554432])], 'ms': 0.08916299790143967, 'GB/s': 3010.6149671720013, 'TFLOPS': 0.3763268708965002}
{'input_size': [torch.Size([67108864])], 'ms': 0.15567399561405182, 'GB/s': 3448.6871740031297, 'TFLOPS': 0.4310858967503912}
{'input_size': [torch.Size([134217728])], 'ms': 0.3029690086841583, 'GB/s': 3544.064881960793, 'TFLOPS': 0.4430081102450991}
