{'input_size': [torch.Size([256, 256]), torch.Size([256, 256])], 'ms': 0.010102000087499619, 'GB/s': 38.92456905504999, 'TFLOPS': 3.3215632260309325}
{'input_size': [torch.Size([384, 384]), torch.Size([384, 384])], 'ms': 0.010944999754428864, 'GB/s': 80.83472086346956, 'TFLOPS': 10.346844270524103}
{'input_size': [torch.Size([512, 512]), torch.Size([512, 512])], 'ms': 0.014232000336050987, 'GB/s': 110.51601762654464, 'TFLOPS': 18.861400341596948}
{'input_size': [torch.Size([640, 640]), torch.Size([640, 640])], 'ms': 0.014953999780118465, 'GB/s': 164.3439906470649, 'TFLOPS': 35.060051338040516}
{'input_size': [torch.Size([768, 768]), torch.Size([768, 768])], 'ms': 0.018882999196648598, 'GB/s': 187.4142959571857, 'TFLOPS': 47.97805976503954}
{'input_size': [torch.Size([896, 896]), torch.Size([896, 896])], 'ms': 0.019003000110387802, 'GB/s': 253.48081734561964, 'TFLOPS': 75.70627078055838}
{'input_size': [torch.Size([1024, 1024]), torch.Size([1024, 1024])], 'ms': 0.023733999580144882, 'GB/s': 265.0819967681821, 'TFLOPS': 90.48132156353948}
{'input_size': [torch.Size([1152, 1152]), torch.Size([1152, 1152])], 'ms': 0.024255000054836273, 'GB/s': 328.28793988859667, 'TFLOPS': 126.06256891722113}
{'input_size': [torch.Size([1280, 1280]), torch.Size([1280, 1280])], 'ms': 0.030107999220490456, 'GB/s': 326.5045919527516, 'TFLOPS': 139.30862589984068}
{'input_size': [torch.Size([1408, 1408]), torch.Size([1408, 1408])], 'ms': 0.03067000024020672, 'GB/s': 387.8312326977611, 'TFLOPS': 182.02212521281587}
{'input_size': [torch.Size([1536, 1536]), torch.Size([1536, 1536])], 'ms': 0.037925999611616135, 'GB/s': 373.2472748236887, 'TFLOPS': 191.10260470972864}
{'input_size': [torch.Size([1664, 1664]), torch.Size([1664, 1664])], 'ms': 0.049872998148202896, 'GB/s': 333.1136409852801, 'TFLOPS': 184.76703286650203}
{'input_size': [torch.Size([1792, 1792]), torch.Size([1792, 1792])], 'ms': 0.05316099897027016, 'GB/s': 362.43833587053615, 'TFLOPS': 216.49649929333356}
{'input_size': [torch.Size([1920, 1920]), torch.Size([1920, 1920])], 'ms': 0.06073800101876259, 'GB/s': 364.1608157826498, 'TFLOPS': 233.06292210089586}
{'input_size': [torch.Size([2048, 2048]), torch.Size([2048, 2048])], 'ms': 0.07609300315380096, 'GB/s': 330.7245470274612, 'TFLOPS': 225.77462410408015}
{'input_size': [torch.Size([2176, 2176]), torch.Size([2176, 2176])], 'ms': 0.07549100369215012, 'GB/s': 376.3343260854562, 'TFLOPS': 272.9678311873176}
{'input_size': [torch.Size([2304, 2304]), torch.Size([2304, 2304])], 'ms': 0.10986949875950813, 'GB/s': 289.8938864708678, 'TFLOPS': 222.63850480962648}
{'input_size': [torch.Size([2432, 2432]), torch.Size([2432, 2432])], 'ms': 0.11041100323200226, 'GB/s': 321.4149220746687, 'TFLOPS': 260.5603634951981}
{'input_size': [torch.Size([2560, 2560]), torch.Size([2560, 2560])], 'ms': 0.1369909942150116, 'GB/s': 287.0378467235849, 'TFLOPS': 244.9389625374591}
{'input_size': [torch.Size([2688, 2688]), torch.Size([2688, 2688])], 'ms': 0.13322299718856812, 'GB/s': 325.4097634407526, 'TFLOPS': 291.56714804291437}
{'input_size': [torch.Size([2816, 2816]), torch.Size([2816, 2816])], 'ms': 0.18570199608802795, 'GB/s': 256.21230251852626, 'TFLOPS': 240.49794796405666}
{'input_size': [torch.Size([2944, 2944]), torch.Size([2944, 2944])], 'ms': 0.18602299690246582, 'GB/s': 279.55046884480487, 'TFLOPS': 274.3321934263685}
{'input_size': [torch.Size([3072, 3072]), torch.Size([3072, 3072])], 'ms': 0.21180200576782227, 'GB/s': 267.33979121080824, 'TFLOPS': 273.75594619986765}
{'input_size': [torch.Size([3200, 3200]), torch.Size([3200, 3200])], 'ms': 0.2421109974384308, 'GB/s': 253.7679025324915, 'TFLOPS': 270.6857627013242}
{'input_size': [torch.Size([3328, 3328]), torch.Size([3328, 3328])], 'ms': 0.27819299697875977, 'GB/s': 238.8755458322115, 'TFLOPS': 264.9926055098666}
{'input_size': [torch.Size([3456, 3456]), torch.Size([3456, 3456])], 'ms': 0.30814099311828613, 'GB/s': 232.5676154762391, 'TFLOPS': 267.9178930286274}
{'input_size': [torch.Size([3584, 3584]), torch.Size([3584, 3584])], 'ms': 0.35520800948143005, 'GB/s': 216.97240473973366, 'TFLOPS': 259.2096995290685}
{'input_size': [torch.Size([3712, 3712]), torch.Size([3712, 3712])], 'ms': 0.38832300901412964, 'GB/s': 212.8992155522564, 'TFLOPS': 263.42729604332527}
{'input_size': [torch.Size([3840, 3840]), torch.Size([3840, 3840])], 'ms': 0.43390700221061707, 'GB/s': 203.89991299807417, 'TFLOPS': 260.99188863753494}
{'input_size': [torch.Size([3968, 3968]), torch.Size([3968, 3968])], 'ms': 0.48053300380706787, 'GB/s': 196.59449663509355, 'TFLOPS': 260.02898754935035}
{'input_size': [torch.Size([4096, 4096]), torch.Size([4096, 4096])], 'ms': 0.5291830003261566, 'GB/s': 190.22397911111503, 'TFLOPS': 259.71913947970904}
